Date and time (UTC),Rocket,Rocket,Flight number,Launch site,Launch site,LSP,LSP,Year
15 February 07:52,Proton-K/DM-2,Proton-K/DM-2,,Baikonur Site 81/23,Baikonur Site 81/23,,,1990
15 February 07:52,,,,,,,,1990
15 February 07:52,,Raduga 25,,Geosynchronous,Communications,In orbit,Operational,1990
22 February 23:17,Ariane 4 (44L),Ariane 4 (44L),,Kourou ELA-2,Kourou ELA-2,Arianespace,Arianespace,1990
22 February 23:17,,,,,,,,1990
22 February 23:17,,Superbird B,SCC,Intended: Geosynchronous transfer,Communications,T+ seconds,Launch failure,1990
22 February 23:17,,BS 2X,,Intended: Geosynchronous transfer,Communications,T+ seconds,Launch failure,1990
22 February 23:17,,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,1990
27 February 20:59,Kosmos-3M,Kosmos-3M,,Plesetsk Site 132/2,Plesetsk Site 132/2,,,1990
27 February 20:59,,,,,,,,1990
27 February 20:59,,Nadezhda 2,,Low Earth,Navigation,In orbit,Operational,1990
28 February 00:55,Tsyklon-3,Tsyklon-3,,Plesetsk Site 32/2,Plesetsk Site 32/2,,,1990
28 February 00:55,,,,,,,,1990
28 February 00:55,,Okean 2,,Low Earth,Earth science,In orbit,Operational,1990
28 February 07:50,Space Shuttle Atlantis,Space Shuttle Atlantis,,Kennedy LC-39A,Kennedy LC-39A,,,1990
28 February 07:50,,,,,,,,1990
28 February 07:50,,STS-36,NASA,Low Earth,Satellite deployment,4 March 03:08,Successful,1990
28 February 07:50,,USA-53 (Misty-1),NRO,Low Earth,Reconnaissance,In orbit,Operational,1990
28 February 07:50,,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,1990
28 February 23:10,Soyuz-U2,Soyuz-U2,,Baikonur Site 1/5,Baikonur Site 1/5,,,1990
28 February 23:10,,,,,,,,1990
28 February 23:10,,Progress M-3,,Low Earth (Mir),Logistics,28 April 00:52,Successful,1990
March[edit],March[edit],March[edit],March[edit],March[edit],March[edit],March[edit],March[edit],1990
14 March 11:52,Commercial Titan III,Commercial Titan III,,Cape Canaveral LC-40,Cape Canaveral LC-40,Martin Marietta,Martin Marietta,1990
14 March 11:52,,,,,,,,1990
14 March 11:52,,Intelsat 603,Intelsat,Geosynchronous,Communications,In orbit,Partial launch failure,1990
